Class,Test Samples,Baseline Precision,Baseline Recall,Baseline F1,Transformer Precision,Transformer Recall,Transformer F1
Not_offensive,3184,0.8284137931034483,0.9431532663316583,0.8820678513731826,0.8290948865190046,0.9522613065326633,0.8864201140184184
Offensive_Targeted_Insult_Group,288,0.35609756097560974,0.2534722222222222,0.2961460446247465,0.3277777777777778,0.2048611111111111,0.25213675213675213
Offensive_Targeted_Insult_Individual,315,0.45294117647058824,0.24444444444444444,0.31752577319587627,0.3409090909090909,0.09523809523809523,0.1488833746898263
Offensive_Targeted_Insult_Other,71,0.3333333333333333,0.028169014084507043,0.05194805194805195,0.0,0.0,0.0
Offensive_Untargetede,368,0.42528735632183906,0.3016304347826087,0.35294117647058826,0.3605015673981191,0.3125,0.33478893740902477
not-Tamil,159,0.8728813559322034,0.6477987421383647,0.7436823104693141,0.8368794326241135,0.7421383647798742,0.7866666666666666
